data id,Recorded on
474,7/24/2022
475,12/23/2022
476,12/3/2022
477,9/5/2022
478,8/27/2022
479,10/25/2022
480,5/26/2022
481,2/28/2023
482,8/20/2022
483,10/17/2022
484,6/27/2022
485,5/14/2022
486,11/30/2022
487,8/4/2022
488,5/8/2022
489,3/1/2023
490,1/26/2023
491,2/2/2023
492,6/3/2022
493,2/12/2023
494,1/23/2023
495,5/22/2022
496,5/26/2022
497,4/20/2022
498,1/18/2023
499,11/10/2022
500,4/10/2022
501,12/6/2022
502,10/23/2022
503,12/1/2022
504,2/2/2023
505,2/9/2023
506,12/6/2022
507,1/12/2023
508,10/26/2022
509,2/17/2023
510,1/28/2023
511,3/31/2023
512,1/30/2023
513,12/17/2022
514,11/10/2022
515,3/18/2023
516,12/14/2022
517,12/29/2022
518,2/2/2023
519,3/21/2023
520,12/28/2022
521,11/4/2022
522,7/15/2022
523,4/12/2022
524,7/25/2022
525,3/1/2023
526,6/21/2022
527,4/15/2022
528,4/29/2022
529,8/20/2022
530,11/23/2022
531,9/26/2022
532,10/26/2022
533,12/22/2022
534,1/19/2023
535,9/21/2022
536,1/31/2023
537,6/12/2022
538,6/15/2022
539,12/1/2022
540,1/21/2023
541,5/14/2022
542,10/21/2022
543,12/27/2022
544,6/19/2022
545,8/16/2022
546,8/12/2022
547,3/26/2023
548,3/7/2023
549,8/6/2022
550,3/25/2023
551,12/11/2022
552,10/30/2022
553,10/25/2022
554,6/28/2022
555,9/12/2022
556,3/28/2023
557,11/9/2022
558,5/4/2022
559,11/8/2022
560,1/21/2023
561,5/28/2022
562,2/4/2023
563,2/22/2023
564,6/5/2022
565,5/10/2022
566,4/17/2022
567,9/15/2022
568,2/25/2023
569,6/20/2022
570,1/16/2023
571,5/28/2022
572,2/12/2023
573,4/11/2022
574,1/30/2023
575,2/16/2023
576,1/30/2023
577,4/21/2022
578,10/22/2022
579,4/12/2022
580,9/3/2022
581,4/2/2023
582,11/21/2022
583,5/12/2022
584,10/10/2022
585,10/28/2022
586,2/8/2023
587,1/11/2023
588,7/21/2022
589,9/19/2022
590,5/14/2022
591,5/1/2022
592,12/8/2022
593,1/27/2023
594,12/18/2022
595,8/17/2022
596,9/26/2022
597,8/11/2022
598,1/7/2023
599,7/15/2022
600,11/2/2022
601,4/16/2022
602,12/6/2022
603,3/13/2023
604,1/30/2023
605,6/13/2022
606,4/23/2022
607,5/16/2022
608,1/18/2023
609,9/12/2022
610,10/13/2022
611,8/13/2022
612,1/13/2023
613,5/9/2022
614,10/2/2022
615,9/25/2022
616,12/13/2022
617,6/9/2022
618,11/25/2022
619,8/16/2022
620,11/3/2022
621,5/17/2022
622,12/10/2022
623,1/27/2023
624,7/24/2022
625,11/23/2022
626,9/30/2022
627,3/16/2023
628,1/8/2023
629,9/9/2022
630,11/11/2022
631,12/11/2022
632,1/31/2023
633,11/3/2022
634,5/5/2022
635,9/7/2022
636,2/11/2023
637,5/25/2022
638,7/10/2022
639,12/5/2022
640,7/25/2022
641,2/1/2023
642,3/13/2023
643,11/23/2022
644,10/16/2022
645,2/16/2023
646,4/26/2022
647,12/16/2022
648,2/6/2023
649,1/28/2023
650,7/7/2022
651,1/22/2023
652,1/10/2023
653,6/17/2022
654,9/27/2022
655,11/11/2022
656,12/14/2022
657,4/26/2022
658,6/28/2022
659,11/2/2022
660,6/2/2022
661,4/17/2022
662,8/14/2022
663,4/17/2022
664,1/5/2023
665,2/25/2023
666,1/16/2023
667,11/21/2022
668,8/29/2022
669,8/13/2022
670,1/26/2023
671,2/5/2023
672,10/1/2022
673,9/2/2022
674,9/2/2022
675,9/1/2022
676,2/23/2023
677,6/16/2022
678,11/25/2022
679,5/29/2022
680,8/28/2022
681,1/14/2023
682,5/25/2022
683,9/30/2022
684,11/20/2022
685,10/22/2022
686,11/16/2022
687,12/3/2022
688,9/6/2022
689,6/25/2022
690,3/10/2023
691,7/22/2022
692,8/21/2022
693,8/26/2022
694,8/11/2022
695,12/18/2022
696,7/3/2022
697,12/18/2022
698,2/3/2023
699,11/30/2022
700,8/12/2022
701,7/14/2022
702,3/22/2023
703,2/19/2023
704,11/20/2022
705,3/1/2023
706,12/7/2022
707,4/4/2023
708,12/26/2022
709,1/20/2023
710,5/6/2022
711,12/25/2022
712,5/1/2022
713,11/18/2022
714,8/6/2022
715,5/10/2022
716,1/16/2023
717,6/21/2022
718,7/7/2022
719,9/1/2022
720,3/27/2023
721,11/14/2022
722,10/21/2022
723,3/10/2023
724,3/15/2023
725,5/22/2022
726,11/18/2022
727,12/16/2022
728,2/17/2023
729,4/2/2023
730,10/15/2022
731,10/28/2022
732,1/5/2023
733,11/6/2022
734,3/25/2023
735,3/7/2023
736,11/20/2022
737,4/30/2022
738,2/9/2023
739,3/24/2023
740,8/31/2022
741,1/13/2023
742,10/24/2022
743,7/1/2022
744,4/28/2022
745,5/10/2022
746,1/30/2023
747,6/6/2022
748,8/28/2022
749,7/20/2022
750,4/6/2023
751,11/19/2022
752,11/10/2022
753,12/9/2022
754,1/1/2023
755,1/19/2023
756,3/5/2023
757,2/5/2023
758,8/22/2022
759,6/3/2022
760,5/31/2022
761,10/8/2022
762,10/5/2022
763,9/1/2022
764,7/21/2022
765,9/8/2022
766,3/1/2023
767,8/7/2022
768,4/22/2022
769,1/25/2023
770,5/4/2022
771,4/21/2022
772,1/21/2023
773,1/18/2023
774,11/28/2022
775,8/14/2022
776,3/4/2023
777,1/26/2023
778,1/8/2023
779,8/19/2022
780,8/19/2022
781,6/10/2022
782,6/14/2022
783,2/2/2023
784,1/15/2023
785,8/23/2022
786,8/31/2022
787,1/4/2023
788,9/10/2022
789,4/16/2022
790,6/4/2022
791,3/29/2023
792,6/19/2022
793,4/7/2023
794,10/6/2022
795,4/17/2022
796,2/12/2023
797,3/3/2023
798,4/9/2022
799,5/10/2022
800,5/9/2022
801,5/27/2022
802,8/15/2022
803,9/7/2022
804,3/7/2023
805,3/15/2023
806,2/7/2023
807,6/4/2022
808,10/3/2022
809,2/15/2023
810,7/16/2022
811,7/21/2022
812,5/15/2022
813,5/25/2022
814,5/14/2022
815,12/13/2022
816,5/25/2022
817,6/25/2022
818,10/14/2022
819,12/17/2022
820,7/22/2022
821,9/10/2022
822,4/2/2023
823,1/28/2023
824,2/11/2023
825,6/7/2022
826,11/20/2022
827,10/17/2022
828,5/2/2022
829,7/11/2022
830,1/17/2023
831,1/13/2023
832,10/1/2022
833,2/6/2023
834,10/3/2022
835,9/14/2022
836,4/10/2022
837,8/28/2022
838,3/24/2023
839,12/18/2022
840,11/30/2022
841,10/24/2022
842,8/2/2022
843,8/4/2022
844,10/2/2022
845,5/24/2022
846,2/24/2023
847,5/15/2022
848,6/16/2022
849,5/23/2022
850,3/6/2023
851,1/8/2023
852,9/22/2022
853,8/8/2022
854,7/10/2022
855,4/1/2023
856,12/3/2022
857,5/18/2022
858,1/8/2023
859,5/14/2022
860,5/16/2022
861,3/2/2023
862,10/31/2022
863,3/31/2023
864,9/15/2022
865,7/1/2022
866,12/23/2022
867,1/14/2023
868,11/15/2022
869,3/8/2023
870,8/7/2022
871,7/13/2022
872,12/15/2022
873,4/4/2023
874,11/9/2022
875,3/9/2023
876,9/10/2022
877,11/3/2022
878,4/21/2022
879,12/7/2022
880,5/8/2022
881,10/6/2022
882,5/10/2022
883,11/26/2022
884,5/11/2022
885,5/24/2022
886,8/6/2022
887,4/23/2022
888,12/26/2022
889,8/23/2022
890,9/19/2022
891,12/17/2022
892,2/4/2023
893,3/23/2023
894,8/9/2022
895,8/12/2022
896,7/14/2022
897,4/25/2022
898,3/18/2023
899,12/25/2022
900,12/31/2022
901,11/29/2022
902,12/15/2022
903,9/13/2022
904,5/5/2022
905,12/1/2022
906,8/2/2022
907,8/11/2022
908,1/28/2023
909,5/23/2022
910,3/19/2023
911,1/28/2023
912,8/23/2022
913,12/12/2022
914,3/16/2023
915,7/2/2022
916,3/21/2023
917,11/3/2022
918,8/27/2022
919,3/22/2023
920,2/28/2023
921,2/7/2023
922,12/17/2022
923,12/27/2022
924,2/2/2023
925,11/13/2022
926,3/3/2023
927,1/1/2023
928,9/26/2022
929,12/24/2022
930,4/26/2022
931,5/31/2022
932,2/24/2023
933,2/25/2023
934,2/1/2023
935,12/26/2022
936,10/23/2022
937,5/15/2022
938,6/15/2022
939,9/13/2022
940,7/13/2022
941,5/9/2022
942,10/28/2022
943,8/25/2022
944,7/13/2022
945,12/10/2022
946,5/15/2022
947,9/12/2022
948,4/28/2022
949,4/21/2022
950,9/27/2022
951,1/17/2023
952,4/13/2022
953,5/30/2022
954,9/3/2022
955,10/26/2022
956,5/26/2022
957,3/8/2023
958,9/20/2022
959,2/17/2023
960,5/18/2022
961,7/2/2022
962,12/19/2022
963,1/18/2023
964,5/28/2022
965,7/29/2022
966,4/30/2022
967,3/24/2023
968,2/4/2023
969,12/10/2022
970,1/22/2023
971,12/1/2022
972,8/17/2022
973,10/31/2022
974,2/22/2023
975,8/14/2022
976,7/9/2022
977,4/14/2022
978,6/7/2022
979,8/26/2022
980,3/9/2023
981,9/17/2022
982,1/25/2023
983,7/27/2022
984,12/18/2022
985,5/29/2022
986,7/3/2022
987,12/26/2022
988,10/28/2022
989,10/9/2022
990,2/9/2023
991,6/13/2022
992,8/1/2022
993,9/29/2022
994,12/31/2022
995,2/26/2023
996,9/16/2022
997,2/21/2023
998,5/28/2022
999,9/6/2022
1000,7/14/2022
